#=====================================================
# File created:        Wed-26-Feb-2025-at-07-16-04AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.197507
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2615.4750  0.2571 
   00001    0.6736   -3803.1298  0.2556 
   00002    0.6316   -4493.1495  0.2737 
   00003    0.5920   -5159.9010  0.2724 
   00004    0.5540   -5537.9052  0.2737 
   00005    0.5452   -5865.8776  0.2739 
   00006    0.5100   -6179.2256  0.2748 
   00007    0.5244   -6385.3545  0.2731 
   00008    0.4932   -6575.9991  0.2741 
   00009    0.4876   -6691.2385  0.2690 
   00010    0.4872   -6826.2918  0.2705 
   00011    0.4672   -6929.3413  0.2699 
   00012    0.4620   -7019.5116  0.2654 
   00013    0.4600   -7124.3275  0.2691 
   00014    0.4804   -7192.5886  0.2648 
   00015    0.4580   -7264.1842  0.2659 
   00016    0.4556   -7322.1886  0.2592 
   00017    0.4464   -7424.9758  0.2605 
   00018    0.4564   -7481.0802  0.2670 
   00019    0.4476   -7565.4918  0.2707 
   00020    0.4500   -7598.1962  0.2624 
   00021    0.4496   -7683.0970  0.2662 
   00022    0.4340   -7682.8420  0.2739 
   00023    0.4272   -7758.6809  0.2781 
   00024    0.4520   -7750.9085  0.2750 
   00025    0.4452   -7786.6203  0.2733 
   00026    0.4288   -7792.0686  0.2768 
   00027    0.4420   -7807.1065  0.2759 
   00028    0.4340   -7797.1966  0.2804 
   00029    0.4308   -7836.4214  0.2800 
   00030    0.4472   -7867.7015  0.2754 
   00031    0.4320   -7919.6799  0.2810 
   00032    0.4384   -7950.3762  0.2824 
   00033    0.4248   -8017.9604  0.2872 
   00034    0.4124   -8030.0287  0.2816 
   00035    0.4292   -8022.5927  0.2838 
   00036    0.4288   -7991.8621  0.2780 
   00037    0.4428   -7984.9115  0.2874 
   00038    0.4384   -7976.1000  0.2737 
   00039    0.4216   -7964.3585  0.2746 
   00040    0.4252   -7966.7595  0.2825 
   00041    0.4360   -8010.7458  0.2882 
   00042    0.4364   -8017.3815  0.2917 
   00043    0.4592   -8047.8589  0.2852 
   00044    0.4204   -8086.3653  0.2858 
   00045    0.4528   -8121.8371  0.2938 
   00046    0.4228   -8116.4080  0.3020 
   00047    0.4260   -8086.1702  0.2969 
   00048    0.4132   -8086.0400  0.2997 
   00049    0.4344   -8087.4982  0.3036 
   00050    0.4116   -8106.1417  0.2994 
