#=====================================================
# File created:        Wed-26-Feb-2025-at-07-57-38AM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        19.912233
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9968.5788  0.2646 
   00001    0.6788  -14908.2271  0.2702 
   00002    0.6202  -18145.7734  0.2794 
   00003    0.5787  -20344.0781  0.2779 
   00004    0.5500  -21962.2481  0.2786 
   00005    0.5411  -23273.7963  0.2834 
   00006    0.5162  -24576.0981  0.2900 
   00007    0.5069  -25480.8828  0.2882 
   00008    0.5057  -26176.7274  0.2899 
   00009    0.4923  -26975.8625  0.2931 
   00010    0.4841  -27506.6104  0.2961 
   00011    0.4725  -28019.5550  0.2971 
   00012    0.4726  -28466.5078  0.2999 
   00013    0.4707  -28789.2572  0.2998 
   00014    0.4656  -29128.2892  0.3014 
   00015    0.4604  -29520.0765  0.3005 
   00016    0.4499  -29743.9598  0.2979 
   00017    0.4498  -30020.6735  0.3006 
   00018    0.4462  -30155.1827  0.2992 
   00019    0.4553  -30335.9279  0.3003 
   00020    0.4511  -30468.1972  0.2984 
   00021    0.4479  -30574.0087  0.3016 
   00022    0.4446  -30762.5180  0.3026 
   00023    0.4401  -30863.7483  0.3068 
   00024    0.4417  -30969.8742  0.3111 
   00025    0.4436  -31070.9548  0.3132 
   00026    0.4436  -31246.4930  0.3128 
   00027    0.4409  -31327.2251  0.3164 
   00028    0.4383  -31357.8623  0.3157 
   00029    0.4417  -31317.3093  0.3128 
   00030    0.4355  -31519.6765  0.3134 
   00031    0.4277  -31667.3733  0.3161 
   00032    0.4399  -31724.6670  0.3177 
   00033    0.4409  -31682.8262  0.3176 
   00034    0.4267  -31777.4682  0.3163 
   00035    0.4307  -31922.6478  0.3193 
   00036    0.4341  -32014.0243  0.3248 
   00037    0.4339  -32125.5336  0.3265 
   00038    0.4278  -32186.3819  0.3267 
   00039    0.4346  -32256.4484  0.3230 
   00040    0.4234  -32247.9644  0.3234 
   00041    0.4384  -32297.3265  0.3237 
   00042    0.4291  -32302.3171  0.3260 
   00043    0.4364  -32256.8909  0.3287 
   00044    0.4267  -32271.7914  0.3272 
   00045    0.4228  -32460.4729  0.3269 
   00046    0.4194  -32519.5894  0.3246 
   00047    0.4290  -32535.9065  0.3232 
   00048    0.4307  -32507.6105  0.3237 
   00049    0.4285  -32508.0719  0.3209 
   00050    0.4236  -32539.9432  0.3196 
   00051    0.4286  -32574.6942  0.3205 
   00052    0.4215  -32561.7746  0.3198 
   00053    0.4234  -32541.2682  0.3197 
   00054    0.4190  -32531.7568  0.3217 
   00055    0.4241  -32669.6100  0.3289 
   00056    0.4204  -32612.4411  0.3280 
   00057    0.4185  -32556.8188  0.3272 
   00058    0.4265  -32649.9214  0.3286 
   00059    0.4233  -32701.4530  0.3281 
   00060    0.4266  -32708.7158  0.3290 
   00061    0.4263  -32711.7884  0.3270 
   00062    0.4302  -32716.2392  0.3292 
   00063    0.4182  -32683.1132  0.3284 
   00064    0.4247  -32678.3809  0.3252 
   00065    0.4251  -32753.9846  0.3238 
   00066    0.4242  -32752.6817  0.3234 
   00067    0.4238  -32888.4924  0.3193 
   00068    0.4422  -32903.9053  0.3175 
   00069    0.4232  -32905.8610  0.3212 
   00070    0.4154  -32853.7968  0.3209 
   00071    0.4225  -32882.6765  0.3228 
   00072    0.4181  -32883.4824  0.3233 
   00073    0.4141  -32901.7134  0.3227 
   00074    0.4292  -32785.9585  0.3236 
   00075    0.4204  -32770.0659  0.3226 
   00076    0.4172  -32935.9297  0.3255 
   00077    0.4208  -32953.0192  0.3238 
   00078    0.4224  -33010.1468  0.3223 
   00079    0.4181  -33068.5797  0.3247 
   00080    0.4125  -33107.9482  0.3243 
   00081    0.4194  -33099.4284  0.3232 
   00082    0.4156  -33132.8434  0.3251 
   00083    0.4193  -33106.1097  0.3256 
   00084    0.4210  -33102.3340  0.3265 
   00085    0.4181  -33079.0013  0.3276 
   00086    0.4225  -33059.8152  0.3307 
   00087    0.4244  -33084.7491  0.3294 
   00088    0.4074  -33100.1309  0.3313 
   00089    0.4257  -33111.3037  0.3310 
   00090    0.4258  -33184.4386  0.3324 
   00091    0.4127  -33318.8243  0.3346 
   00092    0.4184  -33337.2775  0.3357 
   00093    0.4124  -33235.6818  0.3359 
   00094    0.4177  -33232.8958  0.3372 
   00095    0.4129  -33225.8226  0.3374 
   00096    0.4154  -33198.6542  0.3376 
   00097    0.4183  -33257.4343  0.3394 
   00098    0.4220  -33261.9454  0.3388 
   00099    0.4269  -33225.1486  0.3380 
   00100    0.4239  -33228.5147  0.3396 
