#=====================================================
# File created:        Wed-26-Feb-2025-at-01-10-10AM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        3.311247
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9648.9320  0.2542 
   00001    0.6838  -14576.4444  0.2513 
   00002    0.6258  -17729.4096  0.2563 
   00003    0.5865  -20072.9428  0.2575 
   00004    0.5616  -21868.2122  0.2581 
   00005    0.5363  -23221.6836  0.2622 
   00006    0.5257  -24415.2664  0.2642 
   00007    0.5104  -25192.9237  0.2705 
   00008    0.5005  -25857.0420  0.2712 
   00009    0.4953  -26634.4023  0.2752 
   00010    0.4837  -27349.1189  0.2759 
   00011    0.4750  -27899.2224  0.2750 
   00012    0.4643  -28204.4124  0.2708 
   00013    0.4673  -28571.1647  0.2715 
   00014    0.4715  -28816.8827  0.2736 
   00015    0.4552  -29127.2447  0.2764 
   00016    0.4630  -29413.7357  0.2749 
   00017    0.4593  -29565.9888  0.2745 
   00018    0.4580  -29836.2117  0.2809 
   00019    0.4555  -30024.1988  0.2841 
   00020    0.4447  -30288.0566  0.2842 
   00021    0.4475  -30440.2162  0.2878 
   00022    0.4398  -30630.9035  0.2865 
   00023    0.4406  -30891.0464  0.2896 
   00024    0.4422  -30990.5511  0.2866 
   00025    0.4339  -31180.8206  0.2860 
   00026    0.4309  -31286.5728  0.2897 
   00027    0.4307  -31400.1660  0.2893 
   00028    0.4297  -31472.9486  0.2920 
   00029    0.4371  -31504.8106  0.2915 
   00030    0.4366  -31614.3561  0.2951 
   00031    0.4346  -31583.3484  0.2935 
   00032    0.4321  -31730.8610  0.2983 
   00033    0.4315  -31769.6859  0.2954 
   00034    0.4305  -31837.1176  0.2927 
   00035    0.4190  -31928.1796  0.2906 
   00036    0.4232  -31914.0436  0.2898 
   00037    0.4341  -31870.6242  0.2874 
   00038    0.4459  -31936.7939  0.2916 
   00039    0.4253  -31930.7476  0.2955 
   00040    0.4312  -31909.7915  0.2970 
   00041    0.4338  -32049.0299  0.2916 
   00042    0.4276  -32069.8695  0.2934 
   00043    0.4370  -32170.3867  0.2924 
   00044    0.4338  -32234.1395  0.2934 
   00045    0.4253  -32261.2709  0.2914 
   00046    0.4363  -32284.5356  0.2892 
   00047    0.4204  -32388.7132  0.2953 
   00048    0.4259  -32417.1201  0.2971 
   00049    0.4288  -32342.3102  0.3014 
   00050    0.4296  -32419.4889  0.3039 
   00051    0.4253  -32487.8527  0.3052 
   00052    0.4294  -32436.3857  0.3067 
   00053    0.4277  -32423.4884  0.3070 
   00054    0.4282  -32508.3900  0.3059 
   00055    0.4258  -32498.9366  0.3077 
   00056    0.4261  -32535.5103  0.3098 
   00057    0.4321  -32588.4877  0.3076 
   00058    0.4249  -32627.2927  0.3054 
   00059    0.4226  -32532.2632  0.3074 
   00060    0.4199  -32656.1306  0.3076 
   00061    0.4216  -32810.6003  0.3060 
   00062    0.4283  -32732.8066  0.3051 
   00063    0.4224  -32786.8045  0.3063 
   00064    0.4223  -32755.6424  0.3070 
   00065    0.4242  -32755.7430  0.3118 
   00066    0.4311  -32708.3104  0.3137 
   00067    0.4203  -32718.1136  0.3146 
   00068    0.4185  -32713.6785  0.3175 
   00069    0.4324  -32821.8998  0.3173 
   00070    0.4226  -32805.5689  0.3198 
   00071    0.4222  -32828.9264  0.3159 
   00072    0.4272  -32795.0137  0.3144 
   00073    0.4229  -32828.2745  0.3172 
   00074    0.4203  -32833.3830  0.3163 
   00075    0.4179  -32849.8356  0.3145 
   00076    0.4232  -32880.2591  0.3131 
   00077    0.4190  -32879.5103  0.3107 
   00078    0.4035  -32912.8862  0.3090 
   00079    0.4206  -32948.9955  0.3086 
   00080    0.4298  -32918.3016  0.3077 
   00081    0.4297  -33003.6176  0.3074 
   00082    0.4218  -32949.4907  0.3061 
   00083    0.4325  -33002.6845  0.3077 
   00084    0.4260  -32939.7193  0.3088 
   00085    0.4209  -33028.3327  0.3100 
   00086    0.4236  -32996.8772  0.3116 
   00087    0.4222  -33133.0805  0.3135 
   00088    0.4263  -33225.7464  0.3141 
   00089    0.4175  -33178.9255  0.3164 
   00090    0.4245  -33172.3479  0.3165 
   00091    0.4181  -33281.6502  0.3195 
   00092    0.4232  -33224.1284  0.3175 
   00093    0.4168  -33154.1342  0.3153 
   00094    0.4170  -33156.3586  0.3190 
   00095    0.4227  -33079.1284  0.3174 
   00096    0.4231  -33151.4110  0.3204 
   00097    0.4161  -33140.5293  0.3190 
   00098    0.4189  -33140.3392  0.3171 
   00099    0.4165  -33157.0980  0.3225 
   00100    0.4172  -33228.6649  0.3245 
