#=====================================================
# File created:        Wed-26-Feb-2025-at-07-55-34AM
# Size of lattice:     30x30
# Number of MC steps:  30
# Reduced temperature: 0.500
# Run time (s):        4.605653
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -861.1962  0.7668 
   00001    1.7156   -1349.3654  0.7804 
   00002    1.7189   -1598.9114  0.7954 
   00003    1.7078   -1844.0219  0.8144 
   00004    1.6967   -2030.6966  0.8191 
   00005    1.7189   -2140.3049  0.8058 
   00006    1.6789   -2223.8094  0.8059 
   00007    1.7122   -2346.7490  0.8158 
   00008    1.6844   -2396.2784  0.8268 
   00009    1.7044   -2435.0835  0.8438 
   00010    1.7189   -2459.3340  0.8529 
   00011    1.7211   -2518.4196  0.8802 
   00012    1.7078   -2589.4124  0.8792 
   00013    1.7367   -2650.5869  0.8884 
   00014    1.7178   -2666.1622  0.8804 
   00015    1.6844   -2685.2674  0.8627 
   00016    1.7167   -2722.0626  0.8787 
   00017    1.6989   -2754.1699  0.8677 
   00018    1.7044   -2769.2474  0.8716 
   00019    1.7178   -2771.1131  0.8772 
   00020    1.7156   -2799.4073  0.8950 
   00021    1.6978   -2797.2121  0.9051 
   00022    1.7244   -2821.6425  0.9184 
   00023    1.7322   -2850.3928  0.9254 
   00024    1.7133   -2865.1734  0.9329 
   00025    1.6589   -2850.8877  0.9436 
   00026    1.6844   -2848.5047  0.9540 
   00027    1.7222   -2861.0235  0.9664 
   00028    1.6944   -2865.2457  0.9693 
   00029    1.6989   -2868.8275  0.9771 
   00030    1.6822   -2872.3822  0.9773 
