#=====================================================
# File created:        Wed-26-Feb-2025-at-01-09-03AM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        22.420368
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10016.6204  0.2569 
   00001    0.4744  -16453.9442  0.2536 
   00002    0.3773  -20841.7358  0.2552 
   00003    0.3221  -24002.6297  0.2568 
   00004    0.2736  -26344.4407  0.2551 
   00005    0.2341  -28025.1037  0.2565 
   00006    0.2120  -29466.3220  0.2568 
   00007    0.1944  -30602.4602  0.2577 
   00008    0.1833  -31467.0011  0.2570 
   00009    0.1597  -32210.1573  0.2577 
   00010    0.1457  -32791.6632  0.2580 
   00011    0.1419  -33288.4887  0.2573 
   00012    0.1346  -33690.2922  0.2579 
   00013    0.1233  -34052.4173  0.2595 
   00014    0.1143  -34375.1209  0.2590 
   00015    0.1148  -34631.9982  0.2585 
   00016    0.1103  -34869.5687  0.2597 
   00017    0.1043  -35074.8928  0.2596 
   00018    0.0992  -35251.0194  0.2602 
   00019    0.0921  -35405.1121  0.2607 
   00020    0.0910  -35544.3629  0.2610 
   00021    0.0891  -35670.9599  0.2609 
   00022    0.0833  -35787.4785  0.2615 
   00023    0.0809  -35900.5980  0.2617 
   00024    0.0807  -35998.7715  0.2618 
   00025    0.0765  -36088.0251  0.2622 
   00026    0.0725  -36164.4771  0.2622 
   00027    0.0707  -36238.1064  0.2625 
   00028    0.0721  -36304.8851  0.2625 
   00029    0.0641  -36362.4194  0.2627 
   00030    0.0645  -36414.2607  0.2630 
   00031    0.0686  -36476.4689  0.2636 
   00032    0.0650  -36533.3071  0.2639 
   00033    0.0568  -36578.3707  0.2640 
   00034    0.0578  -36620.2534  0.2641 
   00035    0.0584  -36666.8515  0.2642 
   00036    0.0597  -36714.9093  0.2639 
   00037    0.0555  -36755.7941  0.2640 
   00038    0.0568  -36788.0793  0.2642 
   00039    0.0505  -36818.1036  0.2640 
   00040    0.0545  -36851.6473  0.2642 
   00041    0.0491  -36881.8218  0.2647 
   00042    0.0517  -36906.7275  0.2648 
   00043    0.0566  -36937.2812  0.2646 
   00044    0.0477  -36969.3680  0.2648 
   00045    0.0448  -36991.0247  0.2648 
   00046    0.0455  -37015.4622  0.2645 
   00047    0.0462  -37038.9081  0.2645 
   00048    0.0472  -37059.2053  0.2646 
   00049    0.0478  -37081.9850  0.2642 
   00050    0.0444  -37103.3538  0.2639 
   00051    0.0483  -37126.6917  0.2643 
   00052    0.0451  -37155.9361  0.2641 
   00053    0.0395  -37178.0502  0.2645 
   00054    0.0461  -37202.6537  0.2647 
   00055    0.0444  -37221.3577  0.2654 
   00056    0.0403  -37244.8334  0.2652 
   00057    0.0372  -37263.3659  0.2654 
   00058    0.0403  -37285.2576  0.2656 
   00059    0.0425  -37304.7303  0.2657 
   00060    0.0388  -37325.8427  0.2658 
   00061    0.0408  -37341.4245  0.2655 
   00062    0.0351  -37355.3525  0.2657 
   00063    0.0369  -37373.7757  0.2657 
   00064    0.0403  -37388.6865  0.2655 
   00065    0.0367  -37401.0365  0.2655 
   00066    0.0352  -37412.4070  0.2657 
   00067    0.0391  -37423.9909  0.2656 
   00068    0.0347  -37435.0747  0.2659 
   00069    0.0358  -37445.9071  0.2658 
   00070    0.0331  -37457.3909  0.2659 
   00071    0.0327  -37467.5404  0.2656 
   00072    0.0363  -37478.5944  0.2656 
   00073    0.0317  -37489.7794  0.2657 
   00074    0.0335  -37504.5235  0.2657 
   00075    0.0360  -37521.1944  0.2659 
   00076    0.0336  -37530.5656  0.2659 
   00077    0.0320  -37543.2805  0.2661 
   00078    0.0344  -37552.9162  0.2662 
   00079    0.0334  -37562.0629  0.2663 
   00080    0.0327  -37569.7755  0.2663 
   00081    0.0327  -37579.0160  0.2662 
   00082    0.0324  -37588.3020  0.2661 
   00083    0.0321  -37596.3996  0.2664 
   00084    0.0300  -37603.9864  0.2662 
   00085    0.0320  -37615.2735  0.2661 
   00086    0.0308  -37623.7029  0.2660 
   00087    0.0309  -37630.4038  0.2661 
   00088    0.0292  -37636.8491  0.2662 
   00089    0.0316  -37643.0064  0.2662 
   00090    0.0315  -37649.6142  0.2663 
   00091    0.0301  -37655.4725  0.2662 
   00092    0.0285  -37661.4492  0.2663 
   00093    0.0308  -37666.6096  0.2663 
   00094    0.0256  -37671.5928  0.2664 
   00095    0.0273  -37675.7164  0.2665 
   00096    0.0293  -37681.0549  0.2665 
   00097    0.0282  -37686.0319  0.2665 
   00098    0.0294  -37692.9749  0.2665 
   00099    0.0276  -37699.2915  0.2665 
   00100    0.0259  -37705.1138  0.2662 
